Title,Company,Experience,Salary,Location,Skills,Link
internship trainee - retail branch banking ( 2 months ),hdfc bank,0-1 yrs,,"silchar, durgapur, bhadrak","sales, customer service, marketing, retail branch banking, training, branch banking, retail",https://www.naukri.com/job-listings-internship-trainee-retail-branch-banking-2-months-hdfc-bank-limited-silchar-durgapur-bhadrak-0-to-1-years-200325915674
internship trainee - retail branch banking (2 months),hdfc bank,0-1 yrs,,"guwahati, kolkata, jamshedpur","retail branch banking, customer service, sales, branch banking, marketing, training, retail",https://www.naukri.com/job-listings-internship-trainee-retail-branch-banking-2-months-hdfc-bank-limited-guwahati-kolkata-jamshedpur-0-to-1-years-200325915160
engineer trainee,upl limited,0-2 yrs,,jhagadia,"quality control, production, daily production, engineering, autocad, process engineering, quality, manpower handling",https://www.naukri.com/job-listings-engineer-trainee-upl-limited-jhagadia-0-to-2-years-030425013924
trainee engineer,siemens,0-1 yrs,,goa,"wave, ema, smt, standard operating procedures, production line, quality control, production, telecommunication",https://www.naukri.com/job-listings-trainee-engineer-siemens-limited-goa-0-to-1-years-020425913289
astinil technologies is offering a intership and pay after placement,astinil technologies,0-5 yrs,4-9 lacs pa,"hybrid - hyderabad, north goa, bengaluru","java development, spring boot, java fullstack, react.js, microservices, angular, placement, pay",https://www.naukri.com/job-listings-astinil-technologies-is-offering-a-intership-and-pay-after-placement-astinil-technologies-hyderabad-north-goa-bengaluru-0-to-5-years-090325002516
fresher maintenance engineer,job plus hr consultancy,0-5 yrs,4.5-7.5 lacs pa,"pune, ahmedabad, mumbai (all areas)","production and maintenance, electrical maintenance, maintenance engineering, engineering, production, mechanical, production engineering, machine maintenance",https://www.naukri.com/job-listings-fresher-maintenance-engineer-plus-hr-consultancy-pune-ahmedabad-mumbai-all-areas-0-to-5-years-270325014906
dot net interns,udaan production publicity,,unpaid,pune,,https://www.naukri.com/job-listings-dot-net-interns-udaan-production-publicity-pune-0-to-2-years-160724501379
internship trainee - hr recruitment,red hibiscus info solutions,,"5,000/month",remote,,https://www.naukri.com/job-listings-internship-trainee-hr-recruitment-red-hibiscus-info-solutions-gurugram-0-to-1-years-190324008526
generator mechanical design engineer,siemens,0-4 yrs,,gurugram,"sap, cad, service engineering, production, engineering projects, siemens, pro-e, mechanical design",https://www.naukri.com/job-listings-generator-mechanical-design-engineer-siemens-limited-gurugram-0-to-4-years-260225501751
internship trainee,muthoot finance,0 yrs,1-1.25 lacs pa,"muzaffarpur, patna, gorakhpur","communication skills, sales, accounting, convincing power, interpersonal skills, interpersonal, training, interpersonal skill",https://www.naukri.com/job-listings-internship-trainee-muthoot-finance-muzaffarpur-patna-gorakhpur-0-to-0-years-050325014683
junior relationship executive and internship trainee executive,muthoot finance,0-1 yrs,,"vijayawada, guntur, lanka","relationship management, revenue generation, marketing, nbfc, key account management, channel sales, business development, sales",https://www.naukri.com/job-listings-junior-relationship-executive-and-internship-trainee-executive-muthoot-finance-ltd-vijayawada-guntur-lanka-0-to-1-years-020425907005
internship trainee -,muthoot finance,,"10,000/month",hyderabad(shamsher gunj +17),,https://www.naukri.com/job-listings-internship-trainee-muthoot-finance-hyderabad-0-to-1-years-271223003073
dot net developers,godigi infotech,0-1 yrs,,pune,"jquery, html5, programming, javascript, asp.net, .net, wcf, wpf",https://www.naukri.com/job-listings-dot-net-developers-godigi-infotech-pune-0-to-1-years-061123500200
php intership,webin technovation,0-2 yrs,,nashik,"hr, internship, hrsd, php",https://www.naukri.com/job-listings-php-intership-webin-technovation-pvt-ltd-nashik-0-to-2-years-040924501969
dot net developers,aegis softtech,0-5 yrs,,navi mumbai,".net developers, dot, .net, development",https://www.naukri.com/job-listings-dot-net-developers-aegis-softtech-navi-mumbai-0-to-5-years-260824502121
internship trainee/ male only,muthoot finance,,"10,000/month",hyderabad(kompally +14),,https://www.naukri.com/job-listings-internship-trainee-male-only-muthoot-finance-hyderabad-0-to-1-years-270324004341
mba intership/trainee,accuster technologies,,unpaid,new delhi,,https://www.naukri.com/job-listings-mba-intership-trainee-accuster-technologies-pvt-ltd-new-delhi-2-to-5-years-150319501816
summer intership as a foundraiser,gp india,,unpaid,hyderabad,,https://www.naukri.com/job-listings-summer-intership-as-a-foundraiser-gp-india-hyderabad-0-to-1-years-220819500381
talent acquisition specialist,taskus,0-6 yrs,,"mumbai, navi mumbai","bpo, talent acquisition, social media, packaging, wellness, e-commerce, hr, outsourcing",https://www.naukri.com/job-listings-talent-acquisition-specialist-taskus-mumbai-navi-mumbai-0-to-6-years-040425501482
films intership,yashi films,,unpaid,mumbai,,https://www.naukri.com/job-listings-films-intership-yashi-films-pvt-ltd-mumbai-0-to-2-years-111224503064
industrial engineer trainee,jk paper,0 yrs,,kagahznagar,"industrial engineering, production engineering, process engineering, lean manufacturing, manufacturing engineering, process, production, lean",https://www.naukri.com/job-listings-industrial-engineer-trainee-jk-paper-kagahznagar-0-to-0-years-280325020591
internship trainee,ekmatra technology,,unpaid,hybrid - mumbai(malad west),,https://www.naukri.com/job-listings-internship-trainee-ekmatra-technology-mumbai-0-to-1-years-040425010731
junior engineer - fabrication/production - doors & windows,ncl buildtek limited,0-3 yrs,2.5-4 lacs pa,"sangareddy, hyderabad","production planning, shift planning, shop floor control, steel doors, production supervising, aluminium, shop floor management, fabrication",https://www.naukri.com/job-listings-junior-engineer-fabrication-production-doors-windows-ncl-buildtek-limited-sangareddy-hyderabad-0-to-3-years-010425006528
diploma engineer trainee,kirloskar oil engines (koel),0-1 yrs,1.25-1.75 lacs pa,kolhapur,"and production management. skills in word, knowledge of ic/diesel engines assembly, dme, electrical systems, poka-yoke, kaizen, excel, and safety practices. familiar with 5s",https://www.naukri.com/job-listings-diploma-engineer-trainee-kirloskar-oil-engines-koel-kolhapur-0-to-1-years-260325012430
intern factory supervisor,designcafe,0-1 yrs,,bengaluru,"mechanical engineering, quality control, production, firefox, mozilla, mrp, material planning, excel",https://www.naukri.com/job-listings-intern-factory-supervisor-design-cafe-bengaluru-0-to-1-years-090524500232
branch internship,muthoot finance,0-1 yrs,,karnataka,"kyc, customer services, documentation, cross selling, customer relationship management, relationship, management, relationship management",https://www.naukri.com/job-listings-branch-internship-muthoot-finance-ltd-karnataka-0-to-1-years-010425904815
diploma engineer trainee,"kirloskar oil engines (koel), nashik plant",0-1 yrs,1.25-1.75 lacs pa,nashik(ambad),"and safety practices., and production management., knowledge of ic/diesel engines assembly, dme, electrical systems, oracle., powerpoint, poka-yoke",https://www.naukri.com/job-listings-diploma-engineer-trainee-kirloskar-oil-engines-koel-nashik-plant-nashik-0-to-1-years-260325012155
dot net intern,stellans technosoft,,unpaid,ahmedabad,,https://www.naukri.com/job-listings-dot-net-intern-stellans-technosoft-pvt-ltd-ahmedabad-0-to-2-years-031224500709
intern trainee associates/ probationary officer,muthoot finance,0-1 yrs,,vijayawada,"customer services, customer relationship, customer service, convincing skills, training, computer knowledge, computer, relationship",https://www.naukri.com/job-listings-intern-trainee-associates-probationary-officer-muthoot-finance-ltd-vijayawada-0-to-1-years-010425902240
junior engineer trainee - printing,uflex,0-3 yrs,,sanand,"printing, compliance, junior engineer trainee, packaging, manager technology, management, technology, training",https://www.naukri.com/job-listings-junior-engineer-trainee-printing-uflex-ltd-sanand-0-to-3-years-210325505626
internship trainee - (freshers) desktop field engineer - 3 months,anunta tech,0-1 yrs,,"navi mumbai, mumbai (all areas)","hardware installation, desktop support, hardware support, desktop engineering, field, desktop, training, hardware",https://www.naukri.com/job-listings-internship-trainee-freshers-desktop-field-engineer-3-months-anunta-tech-navi-mumbai-mumbai-all-areas-0-to-1-years-010425012260
diploma engineer trainee,kirloskar oil engines (koel),0-1 yrs,1.25-1.75 lacs pa,kolhapur(kagal),"machine operating, machine maintenance, basic knowledge of electrical processes, troubleshooting, basic knowledge of manufacturing process, kaizen, poka yoke, manufacturing",https://www.naukri.com/job-listings-diploma-engineer-trainee-kirloskar-oil-engines-koel-kolhapur-0-to-1-years-260325014499
trainee engineers,rdc concrete,0-2 yrs,,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru","mechanical engineering, quality control, production, autocad, catia, automobile, staff development, manpower handling",https://www.naukri.com/job-listings-trainee-engineers-rdc-concrete-india-private-limited-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-2-years-101224501473
dot net developer- executive,kpmg india,0-5 yrs,,noida,"web application development, jquery, ssrs, javascript, html, visual studio, ssis, troubleshooting",https://www.naukri.com/job-listings-dot-net-developer-executive-kpmg-india-noida-0-to-5-years-240225501237
branch intern trainee,muthoot finance,0-1 yrs,,tamil nadu,"cross sell, training, kyc, customer relationship management, customer relationship, relationship management, crm, cross selling",https://www.naukri.com/job-listings-branch-intern-trainee-muthoot-finance-ltd-tamil-nadu-0-to-1-years-010425904814
pre production engineer || bangalore -hoskote ( fresher can apply),interior solution,0-1 yrs,2-3.75 lacs pa,bengaluru(hoskote),"catia, solid works, autocad, mechanical design, solid, application, production, design",https://www.naukri.com/job-listings-pre-production-engineer-bangalore-hoskote-fresher-can-apply-manpowergroup-services-india-bengaluru-0-to-1-years-030425017532
dot net developer,intelliswift,0-5 yrs,,bengaluru,"analytical skills, front end, pdf, web technologies, c, cloud, corporate, mvc",https://www.naukri.com/job-listings-dot-net-developer-intelliswift-software-india-pvt-ltd-bengaluru-0-to-5-years-041224501267
engineer,flowserve,0-2 yrs,,coimbatore,"fabrication, geometry, supervisor, cnc programming, strategic planning, product design, management, continuous improvement",https://www.naukri.com/job-listings-engineer-flowserve-corporation-pvt-ltd-coimbatore-0-to-2-years-030425501495
hr intern,general electric (ge),,unpaid,bengaluru,,https://www.naukri.com/job-listings-hr-intern-ge-transportation-bengaluru-0-to-2-years-030425501380
holography- assistant operator,uflex,0-4 yrs,,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru","ncvt, repair, production, preventive maintenance, grinding, assembling, machine operating, plant operations",https://www.naukri.com/job-listings-holography-assistant-operator-uflex-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-4-years-030125500890
trainee,softshil infotech,0-1 yrs,,anand,"quality control, mechanical engineering, production, training, quality monitoring, autocad, automobile, quality analysis",https://www.naukri.com/job-listings-trainee-softshil-infotech-anand-0-to-1-years-021224500845
fresher production engineer,job plus hr consultancy,0-5 yrs,4.5-7.5 lacs pa,"bhubaneswar, kolkata, raipur","production and maintenance, electrical maintenance, maintenance engineering, engineering, production, mechanical, production engineering, machine maintenance",https://www.naukri.com/job-listings-fresher-production-engineer-plus-hr-consultancy-bhubaneswar-kolkata-raipur-0-to-5-years-100325003055
junior engineer - component engineering,flex,0-2 yrs,,coimbatore,"health insurance, analytical, production engineering, electronic components, diversity and inclusion, ms outlook, flex, electronics",https://www.naukri.com/job-listings-junior-engineer-component-engineering-flextronics-technologies-i-pvt-ltd-coimbatore-0-to-2-years-270325502346
job oriented internship - bca / bsc cs / bsc it,irohub infotech,0 yrs,,"hybrid - kochi(kaloor +2), ernakulam(kakkanad)","live projects, mobile development, internship, software engineering, flutter, ui/ux, artificial intelligence, testing",https://www.naukri.com/job-listings-oriented-internship-bca-bsc-cs-bsc-it-irohub-infotech-kochi-ernakulam-0-to-0-years-041223006944
mechanical /automotive design internship,mts,,unpaid,hyderabad,,https://www.naukri.com/job-listings-mechanical-automotive-design-internship-mts-hyderabad-0-to-1-years-030225000850
technician - component engineering,flex,0-2 yrs,,coimbatore,"order management, analytical skills, health insurance, product engineering, conflict resolution, production engineering, diversity and inclusion, flex",https://www.naukri.com/job-listings-technician-component-engineering-flextronics-technologies-i-pvt-ltd-coimbatore-0-to-2-years-280325501466
executive n - production,asian paints,0-3 yrs,,patancheruvu,"chemistry, executive production, sap, data validation, quality control, production, packaging, engineering",https://www.naukri.com/job-listings-executive-n-production-asian-paints-limited-patancheruvu-0-to-3-years-010425004076
mechanical/electrical fresher engineers,abs placement,0-2 yrs,3-8 lacs pa,"nagpur, pune, mumbai (all areas)","mechanical engineering, electrical maintenance, automobile engineering, automobile, eee, mechanical design, ece, electronics engineering",https://www.naukri.com/job-listings-mechanical-electrical-fresher-engineers-abs-placement-nagpur-pune-mumbai-all-areas-0-to-2-years-080325005315
junior engineer -mpdm,flex,0-4 yrs,,chennai,"plm, order management, product engineering, baan, analytical, production engineering, flex, agile",https://www.naukri.com/job-listings-junior-engineer-mpdm-flextronics-technologies-i-pvt-ltd-chennai-0-to-4-years-020425502217
technician - component engineering,flex,0-2 yrs,,chennai,"interpersonal skills, analytical, production engineering, electronic components, diversity and inclusion, flex, management, ms office",https://www.naukri.com/job-listings-technician-component-engineering-flextronics-technologies-i-pvt-ltd-chennai-0-to-2-years-020425502209
web designer,ezytm technologies,0-4 yrs,,jaipur,"it services, css, web technologies, html5, consulting, javascript, programming, html",https://www.naukri.com/job-listings-web-designer-ezytm-technologies-jaipur-0-to-4-years-300522508410
internship / trainee,jagluck services,0-1 yrs,,mumbai,"training, backend, front end, intern, oops, web development, design development, web designing",https://www.naukri.com/job-listings-internship-trainee-jagluck-services-pvt-ltd-mumbai-0-to-1-years-140225501266
dot net developer,talent corner hr services,0-2 yrs,2-4 lacs pa,navi mumbai,"dotnet development, angular, sql, .net, development, dot",https://www.naukri.com/job-listings-dot-net-developer-talent-corner-hr-services-navi-mumbai-0-to-2-years-030425009624
diploma engineer trainee,emerson network power,,unpaid,new delhi,,https://www.naukri.com/job-listings-diploma-engineer-trainee-vertiv-group-corp-new-delhi-0-to-1-years-020425502008
trainee production engineer,toolclinic,,unpaid,pune,,https://www.naukri.com/job-listings-trainee-production-engineer-toolclinic-in-pune-0-to-1-years-141124502075
apprentice - operations,startek,0-1 yrs,,noida,"ncvt, pharmaceutical, quality control, mechanical engineering, production, autocad, electrical works, apprentice activities",https://www.naukri.com/job-listings-apprentice-operations-startek-noida-0-to-1-years-030425502356
planning engineer,staffing mart,0-5 yrs,1.5-2 lacs pa,"bharuch, chandigarh, ahmedabad","third party inspection, diploma mechanical, be mechanical, quality control, steel fabrication, heavy fabrication, inward inspection, final inspection",https://www.naukri.com/job-listings-planning-engineer-staffing-mart-bharuch-chandigarh-ahmedabad-0-to-5-years-290325006875
asp dot net mvc developers,disha consultant,0-1 yrs,,hyderabad,"asp.net, .net, mvc, ado dot net, development, net mvc, dot, asp",https://www.naukri.com/job-listings-asp-dot-net-mvc-developers-disha-consultant-hyderabad-0-to-1-years-241220501134
associate employer branding,ultratech cement,3-7 yrs,,mumbai (all areas),"employer branding, recruitment marketing, coordination, branding, recruitment, marketing",https://www.naukri.com/job-listings-associate-employer-branding-ultratech-cement-mumbai-all-areas-3-to-7-years-290125014285
ms architect (dot net),hexaware technologies,14-20 yrs,,"mumbai, pune, chennai","azure paas, .net core, asp.net, ms architect, microservices, microsoft, architecture, paas",https://www.naukri.com/job-listings-ms-architect-dot-net-hexaware-technologies-mumbai-pune-chennai-14-to-20-years-280125914557
internship trainee,prop eminence management services opc,0-1 yrs,"6,000-60,000 pa",coimbatore,"digital marketing, lead generation, digital marketing campaign, digital, online branding, content marketing, social media campaigns, email marketing",https://www.naukri.com/job-listings-internship-trainee-prop-eminence-management-services-opc-coimbatore-0-to-1-years-250325017483
dot net trainee / intern,optbyte,,unpaid,pune,,https://www.naukri.com/job-listings-dot-net-trainee-intern-optbyte-pune-0-to-2-years-111224501932
dot net mvc internship,kush it world,0-1 yrs,,saharanpur,"computer science, front end, pdf, coding, debugging, javascript, html, digital marketing",https://www.naukri.com/job-listings-dot-net-mvc-internship-kush-it-world-saharanpur-0-to-1-years-020425501344
hr associate - employer branding,tech mahindra,4-8 yrs,,pune,"employer branding, hrsd, branding",https://www.naukri.com/job-listings-hr-associate-employer-branding-tech-mahindra-pune-4-to-8-years-090325002574
"production, quality and design engineers for automobile industries",ideal job solutions,0-1 yrs,5-6.5 lacs pa,"hyderabad, chennai, bengaluru","automobile, autocad, solid works, design engineering, quality control, automobile components, catia, mechanical design",https://www.naukri.com/job-listings-production-quality-and-design-engineers-for-automobile-industries-ideal-solutions-hyderabad-chennai-bengaluru-0-to-1-years-250325029436
graduate engineer trainee,p mech consultant,0-1 yrs,,"mumbai, navi mumbai, pune","mechanical engineering, quality control, production, autocad, catia, automobile, staff development, manpower handling",https://www.naukri.com/job-listings-graduate-engineer-trainee-p-mech-consultant-mumbai-navi-mumbai-pune-0-to-1-years-201124511829
dot net web developer,doxbird solutions,0-1 yrs,,ludhiana,"computer science, ms sql, jquery, web technologies, c, javascript, .net, ajax",https://www.naukri.com/job-listings-dot-net-web-developer-doxbird-solutions-ludhiana-0-to-1-years-280823502957
dot net developer - {pan india},infosys,2-6 yrs,,"hybrid - hyderabad, pune, bengaluru",".net, c#, ado.net, asp.net, mvc, dot, pan, development",https://www.naukri.com/job-listings-dot-net-developer-pan-india-infosys-hyderabad-pune-bengaluru-2-to-6-years-140325007975
software developer,shreecom info tech,0-3 yrs,,pune,"web technologies, android application development, software development life cycle, .net, customer service, troubleshooting, information technology, sdlc",https://www.naukri.com/job-listings-software-developer-shreecom-info-tech-pune-0-to-3-years-310723500254
dot net fullstack developer,ey,5-8 yrs,12-19 lacs pa,"bengaluru, mumbai (all areas)",".net, asp.net, angular, ssms, rest api, dotnet development, web api, css",https://www.naukri.com/job-listings-dot-net-fullstack-developer-ey-bengaluru-mumbai-all-areas-5-to-8-years-180325023212
dot net developer (pan india),infosys,5-10 yrs,,"hybrid - pune, bengaluru, mumbai (all areas)","java, .net, dotnet development, spring boot, dot, spring, boot, development",https://www.naukri.com/job-listings-dot-net-developer-pan-india-infosys-pune-bengaluru-mumbai-all-areas-5-to-10-years-210325023702
dot net developer - {pan india},infosys,5-8 yrs,,"hybrid - hyderabad, pune, bengaluru",".net, java, java spring boot, spring boot, dot, spring, boot, pan",https://www.naukri.com/job-listings-dot-net-developer-pan-india-infosys-hyderabad-pune-bengaluru-5-to-8-years-040325018862
dot net developer- (bangalore),infosys,3-8 yrs,,"hybrid - hyderabad, chennai, bengaluru",".net, c#, asp.net, mvc, development, dot",https://www.naukri.com/job-listings-dot-net-developer-bangalore-infosys-hyderabad-chennai-bengaluru-3-to-8-years-280325020979
talent acquisition intern,divine ecosystem,,unpaid,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",,https://www.naukri.com/job-listings-talent-acquisition-intern-divine-ecosystem-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-1-years-300823500477
dot net developer- (bangalore/hyderabad/pune).,infosys,3-8 yrs,,"hybrid - hyderabad, chennai, bengaluru",".net, c#, asp.net, mvc, dot, development",https://www.naukri.com/job-listings-dot-net-developer-bangalore-hyderabad-pune-infosys-hyderabad-chennai-bengaluru-3-to-8-years-040425022616
senior dot net developer,intellectyx inc,0-5 yrs,,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru","performance tuning, jquery, front end, coding, system integration, javascript, application development, seo",https://www.naukri.com/job-listings-senior-dot-net-developer-intellectyx-inc-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-5-years-250225501220
marketing intern,social cults,0-3 yrs,,noida,"social media marketing, ppc, email marketing, online marketing, wordpress, html, customer service, seo",https://www.naukri.com/job-listings-marketing-intern-social-cults-noida-0-to-3-years-070225507469
uk-us it recruiter,hatigen consulting services,0-3 yrs,,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru","computer science, cloud computing, lead generation, networking, staffing, consulting, resourcing, machine learning",https://www.naukri.com/job-listings-uk-us-it-recruiter-hatigen-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-3-years-240823502676
dot net fullstack developer,optum,7-12 yrs,,"hyderabad, chennai, bengaluru","c#, .net, angular, sql, .net core, azure, microsoft azure, asp.net",https://www.naukri.com/job-listings-dot-net-fullstack-developer-optum-hyderabad-chennai-bengaluru-7-to-12-years-030425012830
trade customs classification professional,applied materials,0-1 yrs,,bengaluru,"mechanical production, customs/trade software, gd & t, sap, industrial production, tce, unigraphics, sap software",https://www.naukri.com/job-listings-trade-customs-classification-professional-applied-materials-india-private-limited-bengaluru-0-to-1-years-220325910887
manufacturing engineer,siemens,0-3 yrs,,thane,"ehs, performance management, lean manufacturing, production planning, production operations, production engineering, agile, training and development",https://www.naukri.com/job-listings-manufacturing-engineer-siemens-limited-thane-0-to-3-years-140524501288
internship trainee,theobroma foods,,"5,000/month",bengaluru,,https://www.naukri.com/job-listings-internship-trainee-theobroma-foods-bengaluru-0-to-1-years-030924014984
get / det,green mobility automotive applications (essar group),0-5 yrs,2-3 lacs pa,"sriperumbudur, mappedu, kottaiyur","production engineering, mechanical engineering, production, mechanical, engineering, det",https://www.naukri.com/job-listings-get-det-green-mobility-automotive-applications-essar-group-sriperumbudur-mappedu-kottaiyur-0-to-5-years-240325022000
dot net freshers,omfys technologies india pvt. ltd.,0-3 yrs,,pune,"c#, .net, asp.net mvc, react, angular, web api, ms sql, css",https://www.naukri.com/job-listings-dot-net-freshers-omfys-technologies-india-pvt-ltd-pune-0-to-3-years-030425016525
internship / trainee,jagluck services,0-1 yrs,,pune,"training, backend, front end, intern, oops, web development, design development, web designing",https://www.naukri.com/job-listings-internship-trainee-jagluck-services-pvt-ltd-pune-0-to-1-years-140225501261
fresher hiring || pre -production engineer || bangalore - hoskote,interior solution,0-1 yrs,1.25-3.5 lacs pa,bengaluru(hoskote),"purchase, production, solidworks, catia, autocad, 2d drawing, 3d drawing, 2d",https://www.naukri.com/job-listings-fresher-hiring-pre-production-engineer-bangalore-hoskote-manpowergroup-services-india-bengaluru-0-to-1-years-040325019487
associate - recruiter,artech india,0-1 yrs,,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru","associate - recruiter, recruitment",https://www.naukri.com/job-listings-associate-recruiter-artech-india-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-1-years-050624500436
production shift supervisor,siemens,0-5 yrs,,panaji,"automation, hvac, manager quality assurance, process planning, power distribution, siemens, telecommunication, monitoring",https://www.naukri.com/job-listings-production-shift-supervisor-siemens-limited-panaji-0-to-5-years-111224503549
intern,kashmiri products,,unpaid,"kolhapur, mumbai, nagpur, nashik, pune, ahmedabad, solapur, ahmednagar, vadodara, aurangabad",,https://www.naukri.com/job-listings-intern-kashmiri-products-kolhapur-mumbai-nagpur-nashik-pune-ahmedabad-solapur-ahmednagar-vadodara-aurangabad-0-to-1-years-300720500823
web developer i,mouser electronics,0-4 yrs,,bengaluru,"jquery, xml, web development, javascript, cms, agile, wcf, microsoft",https://www.naukri.com/job-listings-web-developer-i-mouser-electronics-bengaluru-0-to-4-years-100225501579
